15.41413	15.40338	15.39238	15.36208	15.36208	15.42347	15.42347	15.42526	15.43226	15.4	15.4
15.41913	15.42338	15.41038	15.37208	15.40108	15.43347	15.43447	15.43026	15.43626	15.2196	15.4
15.4271	15.43038	15.43207	15.43508	15.43608	15.43547	15.44704	15.43526	15.44626	15.2696	15.40696
15.43452	15.4365	15.43815	15.43938	15.44141	15.44147	15.44204	15.44326	15.44326	15.44096	15.44096
15.43474	15.43673	15.43805	15.4364	15.44031	15.44121	15.44256	15.44226	15.44351	15.44396	15.44385
15.43098	15.43378	15.43546	15.43333	15.43772	15.43872	15.43952	15.44053	15.44146	15.4417	15.44228
15.43078	15.4305	15.43146	15.43105	15.43411	15.43376	15.43611	15.43693	15.43826	15.43736	15.4401
15.42704	15.42767	15.42878	15.42686	15.43211	15.43163	15.43425	15.43327	15.43597	15.43483	15.43649
15.42399	15.42486	15.42621	15.42371	15.42811	15.42893	15.43034	15.43093	15.43197	15.43249	15.43293
15.41964	15.41618	15.42272	15.4112	15.42486	15.42193	15.4261	15.42331	15.42749	15.42717	15.42689
15.41386	15.40844	15.4172	15.3962	15.41186	15.41429	15.42027	15.41461	15.42059	15.41901	15.41789
15.40153	15.40512	15.4072	15.3832	15.40809	15.40809	15.40727	15.40627	15.40859	15.40359	15.4
15.3955	15.3995	15.3812	15.43908	15.38709	15.37909	15.395727	15.39727	15.3898	15.38659	15.4
